,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
0,False,28.0,4.0,,,,False,92.44339589300455,0.0097450700179385,0.05544280068314613,92.44339589300455
1,False,16.0,1.0,,,,False,95.78823914940713,-0.36945112324304424,0.0175879862018967,95.78823914940713
2,False,78.0,3.0,0.0027175589195451984,20.0,60.0,True,87.12292380374926,0.704931937550327,0.08901075008761189,87.12292380374926
3,False,52.0,1.0,0.000536299530926331,30.0,80.0,True,55.37986029950906,1.0842212859750726,0.051277987785042445,55.37986029950906
4,False,64.0,2.0,0.0027175589195451984,16.0,60.0,True,71.00850490107844,1.047913312709073,0.22486078952409091,71.00850490107844
5,False,48.0,1.0,0.00042784556456992883,33.0,120.0,True,49.13045282000566,1.0879298258580605,0.050441614790835275,49.13045282000566
6,False,50.0,3.0,2.2335258194775122e-05,36.0,120.0,True,54.94750617572297,0.958043352549465,0.0417573044629949,54.94750617572297
7,False,12.0,4.0,,,,False,93.77204812496522,0.017658388584805347,0.018058587482548873,93.77204812496522
8,False,94.0,3.0,0.014378938734372038,6.0,40.0,True,93.47105096068032,0.6408600336815242,0.08330122725696722,93.47105096068032
9,False,26.0,4.0,,,,False,112.13957529596169,-0.08766834539093818,0.04446940129400037,112.13957529596169
10,False,30.0,2.0,,,,False,80.9975235983405,-0.139609522529742,0.05238250740758666,80.9975235983405
11,False,28.0,1.0,,,,False,74.28343048903103,0.1578955078637529,0.05080775020203866,74.28343048903103
12,False,72.0,4.0,0.0027175589195451984,21.0,60.0,True,84.52511729703048,0.7938126087174423,0.06805803251637542,84.52511729703048
13,False,42.0,3.0,0.00010854035667974223,41.0,100.0,True,42.27723375637828,0.8725127467741157,0.07465571254672569,42.27723375637828
14,False,90.0,4.0,0.0027175589195451984,20.0,60.0,True,92.14962884940365,0.5864194174807096,0.13567576272315318,92.14962884940365
15,False,10.0,1.0,,,,False,114.26733681977237,-0.28211761497504523,0.03147589582045609,114.26733681977237
16,False,22.0,2.0,,,,False,84.67363628830213,0.3015646575389709,0.029924621110376352,84.67363628830213
17,False,12.0,3.0,,,,False,103.30975930082012,-0.044065531265479956,0.019092517572353588,103.30975930082012
18,False,96.0,4.0,0.014378938734372038,13.0,40.0,True,94.38218789237453,0.4926308868909571,0.18322286953389014,94.38218789237453
19,False,92.0,3.0,0.0027175589195451984,15.0,60.0,True,92.92701276219447,0.666247878593734,0.07002048980864028,92.92701276219447
20,False,94.0,0.0,0.0027175589195451984,21.0,60.0,True,93.34082885898977,0.5669793042850163,0.07420845210457955,93.34082885898977
21,False,74.0,3.0,0.0027175589195451984,19.0,60.0,True,86.40105267070219,0.6673628353076612,0.09983157701497504,86.40105267070219
22,False,84.0,4.0,0.0027175589195451984,25.0,60.0,True,90.76220204791177,0.6326746291207599,0.09134554231209283,90.76220204791177
23,False,4.0,3.0,,,,False,,,0.007794930268975357,
24,False,16.0,0.0,,,,False,97.30973074160964,-0.23472547394871984,0.019072693214885316,97.30973074160964
25,False,34.0,4.0,,,,False,55.047552299413205,0.7203661954886077,0.05556503808083729,55.047552299413205
