,trial,length_minutes,cell_hd_corr
0,3.0,80.0,0.5198564929826526
1,13.0,80.0,0.8905842526493094
2,11.0,80.0,0.8451015096118337
3,18.0,80.0,0.7645083374495901
4,4.0,80.0,0.816135294497062
5,2.0,80.0,0.8935336941610478
6,19.0,80.0,0.7620148951524686
7,16.0,80.0,0.5999508250527013
8,10.0,80.0,0.946387686479536
9,15.0,80.0,0.7199305610568563
10,8.0,80.0,0.5728333892360755
11,12.0,80.0,0.7214531088251182
12,9.0,80.0,0.658318594885701
13,5.0,80.0,0.7615637436647038
14,14.0,80.0,0.8429968042914415
15,17.0,7.0,0.22202459936751867
16,12.0,7.0,0.4854994559755889
17,19.0,7.0,0.43264447268554507
18,2.0,7.0,0.4780059820862133
19,13.0,7.0,0.33848226046757873
20,4.0,7.0,0.02091867667804208
21,14.0,7.0,0.3040935931875005
22,7.0,7.0,0.0032868424568105055
23,9.0,7.0,0.3546698371711938
24,8.0,7.0,-0.043030777312627985
25,3.0,7.0,0.12102760559873461
26,14.0,500.0,0.8239759297874273
27,3.0,500.0,0.690015461244715
28,8.0,500.0,0.33376364878148534
29,6.0,500.0,0.912841359499759
30,2.0,500.0,0.8034669785476016
31,5.0,500.0,0.6203873818332168
32,17.0,500.0,0.5838644384272075
33,12.0,6.0,0.5859639875265681
34,2.0,6.0,0.5250900597821639
35,8.0,6.0,-0.09016900842112736
36,13.0,6.0,0.3748129743957003
37,0.0,6.0,0.5096478946057047
38,6.0,6.0,0.29754173300146436
39,3.0,6.0,0.20538769574662083
40,7.0,6.0,-0.07121326888114739
41,5.0,6.0,0.3988829908532958
42,15.0,6.0,0.5086463099504285
43,4.0,3.0,-0.12860964948751855
44,9.0,3.0,0.3410487425048469
45,14.0,3.0,0.010720585157181852
46,18.0,3.0,0.5303161139602012
47,8.0,3.0,0.05044214059575762
48,17.0,3.0,-0.11705868165950305
49,6.0,3.0,0.3075644598942499
50,3.0,3.0,0.059369702037091146
51,2.0,3.0,0.4862759900663721
52,12.0,3.0,-0.022233428884290102
53,5.0,3.0,0.49824690088263646
54,19.0,3.0,0.4140176248323592
55,7.0,3.0,0.029328535688172626
56,15.0,3.0,0.3225350750859375
57,8.0,400.0,0.2778848462048003
58,11.0,400.0,0.8342440682274818
59,5.0,400.0,0.5318783007778757
60,9.0,400.0,0.6486464580415493
