,number_of_different_bins_bh,directional_correction,name
0,0,False,Experimental data (mouse)
1,3,True,Experimental data (mouse)
2,4,True,Experimental data (mouse)
0,0,False,Experimental data (mouse)
1,0,False,Experimental data (mouse)
0,0,False,Experimental data (mouse)
1,5,True,Experimental data (mouse)
2,2,True,Experimental data (mouse)
3,3,True,Experimental data (mouse)
0,6,True,Experimental data (mouse)
1,8,True,Experimental data (mouse)
2,3,True,Experimental data (mouse)
3,7,True,Experimental data (mouse)
4,6,True,Experimental data (mouse)
5,0,False,Experimental data (mouse)
0,4,True,Experimental data (mouse)
1,4,True,Experimental data (mouse)
2,6,True,Experimental data (mouse)
3,2,True,Experimental data (mouse)
0,1,True,Experimental data (mouse)
1,4,True,Experimental data (mouse)
2,13,True,Experimental data (mouse)
3,5,True,Experimental data (mouse)
0,5,True,Experimental data (mouse)
1,0,False,Experimental data (mouse)
2,5,True,Experimental data (mouse)
3,1,True,Experimental data (mouse)
4,9,True,Experimental data (mouse)
5,7,True,Experimental data (mouse)
4,1,True,Experimental data (mouse)
5,4,True,Experimental data (mouse)
6,1,True,Experimental data (mouse)
7,2,True,Experimental data (mouse)
1,6,True,Experimental data (mouse)
2,3,True,Experimental data (mouse)
3,7,True,Experimental data (mouse)
0,10,True,Experimental data (mouse)
1,4,True,Experimental data (mouse)
2,2,True,Experimental data (mouse)
3,6,True,Experimental data (mouse)
1,2,True,Experimental data (mouse)
2,9,True,Experimental data (mouse)
3,9,True,Experimental data (mouse)
4,9,True,Experimental data (mouse)
0,1,True,Experimental data (rat)
1,0,False,Experimental data (rat)
2,0,False,Experimental data (rat)
3,5,True,Experimental data (rat)
4,0,False,Experimental data (rat)
5,9,True,Experimental data (rat)
0,0,False,Experimental data (rat)
1,0,False,Experimental data (rat)
2,0,False,Experimental data (rat)
3,2,True,Experimental data (rat)
4,7,True,Experimental data (rat)
5,0,False,Experimental data (rat)
6,0,False,Experimental data (rat)
7,1,True,Experimental data (rat)
8,0,False,Experimental data (rat)
2,0,False,Experimental data (rat)
3,5,True,Experimental data (rat)
4,2,True,Experimental data (rat)
6,2,True,Experimental data (rat)
2,0,False,Experimental data (rat)
3,0,False,Experimental data (rat)
4,1,True,Experimental data (rat)
0,5,True,Experimental data (rat)
1,0,False,Experimental data (rat)
2,2,True,Experimental data (rat)
6,0,False,Experimental data (rat)
7,1,True,Experimental data (rat)
8,0,False,Experimental data (rat)
9,0,False,Experimental data (rat)
10,1,True,Experimental data (rat)
11,1,True,Experimental data (rat)
4,3,True,Experimental data (rat)
5,1,True,Experimental data (rat)
0,0,False,Experimental data (rat)
1,3,True,Experimental data (rat)
2,0,False,Experimental data (rat)
3,0,False,Experimental data (rat)
4,2,True,Experimental data (rat)
6,3,True,Experimental data (rat)
0,3,True,Experimental data (rat)
1,0,False,Experimental data (rat)
2,0,False,Experimental data (rat)
6,0,False,Experimental data (rat)
7,0,False,Experimental data (rat)
8,0,False,Experimental data (rat)
9,0,False,Experimental data (rat)
17,1,True,Experimental data (rat)
18,3,True,Experimental data (rat)
19,0,False,Experimental data (rat)
5,9,True,Experimental data (rat)
6,2,True,Experimental data (rat)
7,4,True,Experimental data (rat)
9,5,True,Experimental data (rat)
11,3,True,Experimental data (rat)
2,7,True,Experimental data (rat)
3,1,True,Experimental data (rat)
4,1,True,Experimental data (rat)
0,2,True,Experimental data (rat)
1,0,False,Experimental data (rat)
2,4,True,Experimental data (rat)
3,1,True,Experimental data (rat)
4,9,True,Experimental data (rat)
2,0,False,Experimental data (rat)
3,11,True,Experimental data (rat)
4,0,False,Experimental data (rat)
3,0,False,Experimental data (rat)
4,9,True,Experimental data (rat)
5,0,False,Experimental data (rat)
0,0,False,Experimental data (rat)
1,1,True,Experimental data (rat)
5,3,True,Experimental data (rat)
6,7,True,Experimental data (rat)
7,5,True,Experimental data (rat)
8,0,False,Experimental data (rat)
9,1,True,Experimental data (rat)
10,0,False,Experimental data (rat)
0,4,True,Experimental data (rat)
1,7,True,Experimental data (rat)
2,1,True,Experimental data (rat)
3,0,False,Experimental data (rat)
0,1,True,Experimental data (rat)
1,10,True,Experimental data (rat)
2,0,False,Experimental data (rat)
0,0,,Non-uniform conjunctive
1,0,,Non-uniform conjunctive
